id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths
1312228,Rental unit in Brooklyn · ★5.0 · 1 bedroom,7130382,Walter,Brooklyn,Clinton Hill,40.68371,-73.96461,Private room,55.00,30,3,20/12/15,0.03,1,0,0,No License,5,1,1,Not specified
45277537,Rental unit in New York · ★4.67 · 2 bedrooms · 1 bed · 1 bath,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76661,-73.9881,Entire home/apt,144.00,30,9,01/05/23,0.24,139,364,2,No License,4.67,2,1,1
9.71E+17,Rental unit in New York · ★4.17 · 1 bedroom · 2 beds · 1 bath,528871354,Joshua,Manhattan,Chelsea,40.75076357,-73.99460515,Entire home/apt,187.00,2,6,18/12/23,1.67,1,343,6,Exempt,4.17,1,2,1
3857863,Rental unit in New York · ★4.64 · 1 bedroom · 1 private bath,19902271,John And Catherine,Manhattan,Washington Heights,40.8356,-73.9425,Private room,120.00,30,156,17/09/23,1.38,2,363,12,No License,4.64,1,1,1
40896611,Condo in New York · ★4.91 · Studio · 1 bed · 1 bath,61391963,Stay With Vibe,Manhattan,Murray Hill,40.75112,-73.9786,Entire home/apt,85.00,30,11,03/12/23,0.24,133,335,3,No License,4.91,Studio,1,1
49584983,Rental unit in New York · ★5.0 · 1 bedroom · 1 bath,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.75995,-73.99296,Entire home/apt,115.00,30,5,29/07/23,0.16,139,276,2,No License,5,1,1,1
45277537,Rental unit in New York · ★4.67 · 2 bedrooms · 1 bed · 1 bath,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76661,-73.9881,Entire home/apt,144.00,30,9,01/05/23,0.24,139,364,2,No License,4.67,2,1,1
9.71E+17,Rental unit in New York · ★4.17 · 1 bedroom · 2 beds · 1 bath,528871354,Joshua,Manhattan,Chelsea,40.75076357,-73.99460515,Entire home/apt,187.00,2,6,18/12/23,1.67,1,343,6,Exempt,4.17,1,2,1
3857863,Rental unit in New York · ★4.64 · 1 bedroom · 1 private bath,19902271,John And Catherine,Manhattan,Washington Heights,40.8356,-73.9425,Private room,120.00,30,156,17/09/23,1.38,2,363,12,No License,4.64,1,1,1
40896611,Condo in New York · ★4.91 · Studio · 1 bed · 1 bath,61391963,Stay With Vibe,Manhattan,Murray Hill,40.75112,-73.9786,Entire home/apt,85.00,30,11,03/12/23,0.24,133,335,3,No License,4.91,Studio,1,1
49584983,Rental unit in New York · ★5.0 · 1 bedroom · 1 bath,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.75995,-73.99296,Entire home/apt,115.00,30,5,29/07/23,0.16,139,276,2,No License,5,1,1,1
45457047,Rental unit in New York · ★4.33 · Studio · 1 bed · 1 bath,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76737,-73.98787,Entire home/apt,105.00,30,3,31/08/22,0.1,139,364,0,No License,4.33,Studio,1,1
45847112,Rental unit in New York · ★4.50 · 2 bedrooms · 2 beds · 1 bath,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76519,-73.99013,Entire home/apt,130.00,30,10,30/05/23,0.26,139,295,2,No License,4.5,2,2,1
19280212,Rental unit in Brooklyn · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,2526182,Margaux,Brooklyn,Williamsburg,40.71153,-73.95312,Private room,90.00,30,19,01/10/23,0.24,2,5,2,No License,4.79,1,1,1
8.96E+17,Rental unit in Brooklyn · ★4.67 · 1 bedroom · 1 bed · 1 bath,14251313,Kristin,Brooklyn,Sunset Park,40.65891327,-73.98958973,Entire home/apt,292.00,30,12,19/10/23,1.71,1,365,12,No License,4.67,1,1,1
17367484,Rental unit in Queens · 1 bedroom · 2 beds · 1 shared bath,84109314,Mary,Queens,Astoria,40.76068,-73.90926,Private room,120.00,30,1,21/08/23,0.22,1,365,1,No License,No rating,1,2,1
22066430,Rental unit in Brooklyn · ★4.71 · Studio · 1 bed · 1 bath,20604809,Houman,Brooklyn,Williamsburg,40.7132,-73.96176,Entire home/apt,160.00,30,49,08/10/23,0.67,1,0,7,No License,4.71,Studio,1,1
9.30E+17,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,21662972,Youning,Manhattan,Financial District,40.70999354,-74.00499963,Entire home/apt,100.00,30,1,30/08/23,0.23,1,38,1,No License,No rating,1,1,1
26448665,Rental unit in Queens · 1 bedroom · 1 bed · 1 bath,38713773,Fabrizio,Queens,Sunnyside,40.74347,-73.91396,Private room,70.00,30,1,03/11/19,0.02,1,0,0,No License,No rating,1,1,1
28224871,Rental unit in New York · ★3.20 · 2 bedrooms · 3 beds · 1 bath,187148732,Yehudah,Manhattan,Washington Heights,40.83969,-73.93861,Entire home/apt,164.00,30,5,13/04/19,0.08,1,0,0,No License,3.2,2,3,1
29923599,Serviced apartment in New York City · Studio · 2 beds · 1 bath,220229838,Chamber Hotel,Manhattan,Midtown,40.76176,-73.97659,Hotel room,1000.00,30,1,02/07/19,0.02,10,363,0,Exempt,No rating,Studio,2,1
23053827,Home in East Elmhurst  · 1 bedroom · 1 bed · 1 shared bath,171107511,Paola,Queens,East Elmhurst,40.76529,-73.86361,Private room,45.00,30,1,07/10/18,0.02,1,0,0,No License,No rating,1,1,1
34718504,Condo in New York · 2 bedrooms · 2 beds · 2 baths,6674394,Eri,Manhattan,Upper West Side,40.79283,-73.9719,Entire home/apt,425.00,180,1,25/06/19,0.02,1,358,0,No License,No rating,2,2,2
39022484,Serviced apartment in New York · ★4.80 · 1 bedroom · 1 bed · 1 private bath,241889662,Incentra Village Guest House,Manhattan,West Village,40.73888,-74.00343,Private room,196.00,30,5,26/07/22,0.1,12,0,0,No License,4.8,1,1,1
34511726,Rental unit in Brooklyn · ★4.65 · 1 bedroom · 1 bed · 1 bath,260475429,Zahira,Brooklyn,Kensington,40.64304,-73.97964,Entire home/apt,120.00,30,26,15/03/20,0.47,2,0,0,No License,4.65,1,1,1
35376453,Rental unit in Brooklyn · 1 bedroom · 2 beds · 1 bath,234383668,Federica,Brooklyn,Williamsburg,40.71336,-73.95495,Entire home/apt,100.00,30,1,10/08/19,0.02,1,0,0,No License,No rating,1,2,1
34621385,Rental unit in Brooklyn · ★5.0 · 2 bedrooms · 2 beds · 1 bath,3899139,David,Brooklyn,Bushwick,40.70477,-73.92671,Entire home/apt,220.00,30,12,05/01/20,0.21,1,0,0,No License,5,2,2,1
36819630,Rental unit in Brooklyn · ★4.75 · 1 bedroom · 1 bed · 1 bath,188207570,Claire,Brooklyn,Red Hook,40.67673,-74.00194,Entire home/apt,84.00,30,4,12/12/20,0.08,1,0,0,No License,4.75,1,1,1
35574095,Rental unit in New York · 1 bedroom · 1 bed · 1 private bath,7258900,Jill,Manhattan,Tribeca,40.71446,-74.00826,Private room,200.00,30,1,14/06/19,0.02,1,0,0,No License,No rating,1,1,1
9.51E+17,Hotel in New York · 1 bedroom · 1 bed · 1 bath,215565541,LuxUrban,Manhattan,Hell's Kitchen,40.7603457,-73.9877968,Private room,261.00,1,2,22/11/23,0.5,35,0,2,Exempt,No rating,1,1,1
40658238,Townhouse in Queens · 1 bedroom · 2 beds · 1 shared bath,150022684,Hoang,Queens,Woodside,40.74376,-73.90008,Private room,85.00,30,1,03/01/20,0.02,1,0,0,No License,No rating,1,2,1
39558009,Rental unit in New York · 1 bedroom · 1 bed · 1.5 baths,303941435,David,Manhattan,Roosevelt Island,40.76381,-73.94959,Private room,70.00,30,1,20/01/20,0.02,1,0,0,No License,No rating,1,1,1.5
39899915,Rental unit in The Bronx · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,307330962,Juan,Bronx,Concourse Village,40.82859,-73.91957,Private room,60.00,30,9,02/01/22,0.18,1,2,0,No License,4.89,1,1,1
7070705,Rental unit in Brooklyn · ★4.43 · 1 bedroom · 1 bed · 1 shared bath,37072479,Joseph,Brooklyn,Williamsburg,40.71905,-73.95937,Private room,90.00,30,7,02/01/19,0.09,3,0,0,No License,4.43,1,1,1
5.94E+17,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,4068562,Dominique,Manhattan,Harlem,40.82378,-73.9508,Entire home/apt,75.00,30,2,31/05/23,0.17,1,0,2,No License,No rating,1,1,1
45938560,Rental unit in Brooklyn · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,6913051,Ivan,Brooklyn,Williamsburg,40.71265,-73.96539,Private room,106.00,30,8,15/09/23,0.22,1,15,5,No License,5,1,1,1
46156111,Rental unit in Brooklyn · 1 bedroom · 1 bed · 2 shared baths,3223938,Eugene,Brooklyn,Flatbush,40.65442,-73.95565,Private room,36.00,90,1,01/12/20,0.03,589,0,0,No License,No rating,1,1,2
